[2013-10-6 15:58:26 23]  ModulePath: C:\Program Files\ViewEye\Client\nvtcodec\VideoLib.DLL [file:Config.cpp line:21]
[2013-10-6 15:58:29 126]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 126]  CheckRebuildDisplay  pDec: ,iSize:37215iWidth:1280 iHeight:720 [file:CVideoElement.cpp line:3571]
[2013-10-6 15:58:29 126]  m_codecContext->width= 0 ,m_codecContext->height=0 [file:CVideoElement.cpp line:3573]
[2013-10-6 15:58:29 126]  ------resetDecoder: 0 [file:CVideoElement.cpp line:5615]
[2013-10-6 15:58:29 126]  @@@@@@ avcodec_alloc_context  [file:CVideoElement.cpp line:563]
[2013-10-6 15:58:29 127]  @@@@@@ avcodec_find_decoder: 28 vtype:0 [file:CVideoElement.cpp line:584]
[2013-10-6 15:58:29 127]  @@@@@@ avcodec_alloc_frame  [file:CVideoElement.cpp line:604]
[2013-10-6 15:58:29 136]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 136]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 137]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 141]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 141]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 142]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 142]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 142]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 142]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 142]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 154]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 154]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 154]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 154]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 154]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 158]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 159]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 160]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
